,a,c,h,k,n,s,t,z
35,314040.0,11069022.0,424360.0,162162.0,1367040.0,647012.0,1167791.0,24144669.0
36,304064.0,11127594.0,384345.0,220198.0,1198494.0,702805.0,1251139.0,32599274.0
37,303676.0,12208861.0,332949.0,252738.0,841010.0,716154.0,1349140.0,44873668.0
38,292905.0,12309459.0,332431.0,173953.0,661696.0,744912.0,1456667.0,51650673.0
39,285857.0,12943380.0,344741.0,138610.0,734851.0,696811.0,1383072.0,43476745.0
40,295537.0,12391340.0,359277.0,61771.0,722386.0,806061.0,1132262.0,22827835.0
41,314994.0,13643077.0,420109.0,29392.0,950996.0,943972.0,1063235.0,10541645.0
42,321864.0,16613525.0,472659.0,16645.0,1437454.0,2626012.0,1102181.0,4661453.0
43,399499.0,17487172.0,658371.0,13051.0,2158523.0,1309604.0,1207782.0,2356602.0
44,399934.0,17106533.0,443800.0,5471.0,2008242.0,1063746.0,966536.0,1707865.0
45,319352.0,10101550.0,206210.0,10127.0,1053514.0,655164.0,834058.0,1474379.0
46,268470.0,5907402.0,63114.0,10258.0,393204.0,258756.0,357886.0,1515933.0
47,210607.0,4376890.0,20196.0,20718.0,130898.0,93666.0,148548.0,2263576.0
48,157262.0,4369266.0,8289.0,47765.0,52093.0,43474.0,96221.0,4991962.0
49,122511.0,3782120.0,4037.0,57484.0,21943.0,22035.0,58006.0,10303161.0
50,130953.0,3819958.0,3924.0,87090.0,15215.0,16367.0,54282.0,17931407.0
51,116197.0,3067494.0,7340.0,158625.0,14277.0,16065.0,79580.0,23068400.0
52,124927.0,3600654.0,23063.0,117753.0,21563.0,26981.0,85888.0,21500506.0
53,146338.0,3463378.0,62638.0,188045.0,61023.0,55831.0,125691.0,26989693.0
54,163161.0,6063992.0,138347.0,261269.0,142233.0,150998.0,271645.0,29495410.0
55,202048.0,9611882.0,227445.0,238993.0,413000.0,370234.0,582832.0,31474520.0
56,248246.0,13875680.0,326859.0,180656.0,874273.0,707803.0,971295.0,33328662.0
57,232282.0,13090068.0,410306.0,209888.0,1588973.0,893753.0,1522030.0,30898823.0
58,269176.0,14352413.0,434007.0,191402.0,1612838.0,908928.0,1755221.0,24752496.0
59,302069.0,13881607.0,528184.0,270635.0,2016435.0,1037961.0,1903712.0,33112189.0
60,292453.0,13130696.0,522797.0,364283.0,2633967.0,1120070.0,2065296.0,47791987.0
61,294356.0,13561551.0,541034.0,439856.0,2479794.0,1046021.0,2351231.0,61285343.0
62,306054.0,15267182.0,605358.0,318711.0,2584045.0,1129529.0,2469635.0,67929524.0
63,310176.0,17322216.0,652560.0,232366.0,2568845.0,1348112.0,2483605.0,47373402.0
64,331620.0,18935893.0,621028.0,111200.0,2496659.0,1413190.0,2342386.0,25606261.0
65,375236.0,21909627.0,680347.0,52611.0,3107875.0,1733485.0,1986275.0,8924732.0
66,369432.0,21088943.0,779048.0,28154.0,3773694.0,2028964.0,1896136.0,3828624.0
67,376781.0,19950160.0,691495.0,15048.0,4356501.0,1884281.0,1829301.0,2256717.0
68,350327.0,15692809.0,332056.0,5058.0,3082482.0,1145415.0,1198830.0,1528690.0
69,290234.0,8167673.0,108724.0,7819.0,1305681.0,490213.0,730246.0,1212603.0
70,237125.0,5734935.0,32398.0,9442.0,381805.0,117200.0,255779.0,1778400.0
71,195360.0,5270584.0,7593.0,20219.0,72285.0,40856.0,82822.0,2396626.0
72,139273.0,5490574.0,3518.0,63763.0,25696.0,18694.0,67559.0,6719548.0
73,112883.0,3830578.0,2251.0,79337.0,85233.0,12573.0,51391.0,14616940.0
74,106045.0,3787958.0,4538.0,101432.0,70964.0,9249.0,64884.0,23933729.0
75,96765.0,3287740.0,5966.0,141391.0,62456.0,9531.0,105073.0,27015827.0
76,109400.0,4239701.0,17988.0,155220.0,80525.0,20448.0,151254.0,19747658.0
77,128834.0,5531737.0,46620.0,175755.0,182761.0,60620.0,258415.0,25997505.0
78,153051.0,8142901.0,137352.0,222493.0,593175.0,272382.0,531613.0,28464745.0
79,173117.0,14457213.0,207505.0,181841.0,1465488.0,626587.0,806601.0,34974013.0
80,195251.0,17282723.0,306901.0,192573.0,1905100.0,988621.0,957884.0,39042184.0
81,235847.0,15079173.0,400590.0,295876.0,2624943.0,1291387.0,969884.0,29596097.0
82,267148.0,14000557.0,361226.0,255461.0,2309034.0,1021635.0,995120.0,25553637.0
83,280902.0,14877586.0,412737.0,256983.0,2554229.0,1202923.0,1069745.0,33018477.0
84,275547.0,16695618.0,456906.0,279682.0,2465903.0,1167450.0,1388240.0,46798971.0
85,281853.0,16017336.0,487774.0,444382.0,2286093.0,1029512.0,1885887.0,58912029.0
86,282423.0,17984584.0,480984.0,328085.0,2026013.0,918112.0,2118989.0,61275254.0
87,291570.0,18506740.0,482520.0,259830.0,1965693.0,939649.0,2047168.0,42805495.0
88,357332.0,21962006.0,506277.0,189984.0,1903954.0,1079242.0,2243898.0,19164460.0
89,342686.0,20657758.0,1083567.0,149007.0,3043740.0,1562934.0,2504076.0,7147844.0
90,397798.0,17994822.0,655488.0,61845.0,5360219.0,1826823.0,2455893.0,3173473.0
91,351967.0,32667982.0,492239.0,31191.0,4364836.0,1536141.0,1665679.0,1803445.0
92,340905.0,22964558.0,304127.0,8126.0,3563524.0,1372407.0,1099815.0,1344240.0
93,300893.0,10144694.0,93483.0,10826.0,1621709.0,391638.0,582874.0,1020577.0
94,265936.0,12259861.0,24867.0,10703.0,392240.0,105286.0,163032.0,1464696.0
95,168777.0,4858852.0,6640.0,15647.0,78797.0,33004.0,60371.0,2425379.0
96,127789.0,3434443.0,2954.0,47535.0,27294.0,23564.0,45602.0,6462115.0
97,98842.0,8482139.0,1958.0,58137.0,14357.0,11109.0,37821.0,15744495.0
98,90932.0,3226581.0,2204.0,85427.0,8808.0,8942.0,49781.0,20788798.0
99,89073.0,2762606.0,4674.0,128210.0,7051.0,13828.0,80313.0,22230841.0
100,104516.0,7675762.0,16146.0,145017.0,12871.0,37408.0,146979.0,17253772.0
101,128556.0,4658149.0,49902.0,160830.0,45442.0,100697.0,292694.0,21850885.0
102,159695.0,7323802.0,132328.0,185840.0,273763.0,400614.0,629076.0,24907938.0
103,179119.0,19585512.0,212854.0,152961.0,912761.0,762610.0,868255.0,28230441.0
104,235228.0,12093416.0,260806.0,174862.0,1244307.0,1040093.0,1048853.0,32040862.0
105,253496.0,13700455.0,279701.0,192986.0,1535172.0,975361.0,935061.0,29175927.0
106,253470.0,25301428.0,291450.0,190916.0,1556434.0,1026492.0,1022712.0,21532943.0
107,267685.0,17278091.0,326922.0,283564.0,2005897.0,1321610.0,1175004.0,26768119.0
108,283709.0,16170884.0,437405.0,459236.0,2149730.0,1204591.0,1345309.0,42102004.0
109,307192.0,30391742.0,403485.0,403462.0,2151717.0,1001648.0,1740190.0,50653336.0
110,275306.0,17298677.0,358652.0,319178.0,1789678.0,871877.0,1770480.0,48755973.0
111,284760.0,15666431.0,394944.0,243148.0,1607066.0,904770.0,1776791.0,35542573.0
112,296322.0,26587984.0,398396.0,105125.0,1670194.0,949148.0,1806969.0,19909601.0
113,323725.0,16751894.0,455331.0,42286.0,2155170.0,1130176.0,1999973.0,7625151.0
114,369497.0,16032390.0,534040.0,25146.0,2954173.0,1811202.0,1999695.0,3640739.0
115,321507.0,26999008.0,529463.0,6503.0,3830965.0,1534121.0,1752746.0,1778426.0
116,305405.0,13274268.0,277325.0,3877.0,2933327.0,1029047.0,1191293.0,1263052.0
117,288460.0,7599014.0,83740.0,8939.0,1191500.0,389969.0,546117.0,1014905.0
118,225983.0,10401746.0,19679.0,12206.0,299176.0,105448.0,172528.0,1205346.0
119,197951.0,3462133.0,4770.0,19941.0,96927.0,42953.0,55733.0,2406221.0
120,134636.0,2682496.0,1950.0,56986.0,42367.0,22853.0,32399.0,5794498.0
121,103094.0,6961799.0,1347.0,74608.0,38269.0,16311.0,30730.0,13496256.0
122,94653.0,2832530.0,1678.0,131796.0,33969.0,13296.0,39638.0,19329710.0
123,94417.0,2619639.0,4675.0,124663.0,28344.0,12505.0,67530.0,20653729.0
124,106869.0,7911646.0,17128.0,152315.0,54352.0,33623.0,121372.0,16448955.0
125,129254.0,4579083.0,51027.0,162428.0,112667.0,90117.0,269627.0,19321434.0
126,156221.0,7011072.0,144673.0,198059.0,429562.0,363071.0,676290.0,22587477.0
127,178165.0,17587774.0,237230.0,155314.0,1220190.0,671025.0,947023.0,24009940.0
128,181546.0,9675232.0,303715.0,118323.0,1405637.0,788832.0,971131.0,21815390.0
129,229216.0,10014164.0,256006.0,113959.0,1731878.0,699918.0,779048.0,18305795.0
130,222657.0,22590071.0,252517.0,102016.0,1623466.0,682330.0,898515.0,12985303.0
131,276661.0,13746915.0,381897.0,136776.0,2059852.0,938210.0,1169883.0,19628821.0
132,275676.0,14711748.0,381749.0,269546.0,2553114.0,1023042.0,1405174.0,34698832.0
133,272169.0,29896491.0,343531.0,241416.0,2644337.0,884984.0,1784614.0,45892631.0
134,275726.0,18386218.0,326289.0,214440.0,2393030.0,777852.0,1873729.0,47948114.0
135,270436.0,22720003.0,290072.0,153046.0,1780461.0,744645.0,1761099.0,35483623.0
136,292110.0,38823724.0,293100.0,75926.0,1857099.0,895284.0,1853020.0,18100383.0
137,312962.0,20330805.0,316242.0,26028.0,2172339.0,972655.0,2174694.0,6816973.0
138,301888.0,15532420.0,339404.0,15374.0,2867515.0,1312041.0,2186584.0,2892623.0
139,309517.0,27128925.0,340990.0,5458.0,3818865.0,1490723.0,1730727.0,1728844.0
140,289534.0,16393642.0,209077.0,4836.0,2842728.0,989004.0,1126592.0,1167450.0
141,288341.0,9600070.0,73833.0,9245.0,1285581.0,388823.0,486232.0,1045406.0
142,222873.0,14276083.0,23666.0,12586.0,412266.0,111897.0,157251.0,1423144.0
143,172285.0,5056783.0,6108.0,21794.0,150002.0,43642.0,65288.0,2064983.0
144,127148.0,4040286.0,3004.0,57602.0,74059.0,23845.0,38399.0,5614929.0
145,140658.0,10675646.0,23486.0,128337.0,193170.0,63743.0,65098.0,13487705.0
146,126191.0,4324128.0,13872.0,124290.0,124988.0,36574.0,80322.0,20865759.0
147,110521.0,4333797.0,17101.0,119600.0,96590.0,33921.0,114494.0,21109037.0
148,123100.0,12226544.0,41711.0,148795.0,141341.0,69080.0,173366.0,15791933.0
149,152761.0,6525256.0,97561.0,162446.0,333269.0,185321.0,297922.0,19790500.0
150,173320.0,9322183.0,194973.0,304564.0,902425.0,613587.0,654092.0,21796698.0
151,189578.0,24250272.0,280756.0,202095.0,1716880.0,949648.0,945053.0,23211862.0
152,213226.0,15908501.0,399238.0,202119.0,2222661.0,1332766.0,1050329.0,25705535.0
153,269644.0,14019369.0,438407.0,202195.0,2764040.0,1098432.0,907908.0,23197018.0
154,255143.0,27797883.0,470029.0,185360.0,2574921.0,1075149.0,991618.0,17470571.0
155,279555.0,17676496.0,667770.0,244343.0,3007754.0,1542257.0,1180561.0,25627681.0
156,247983.0,15778353.0,569904.0,262191.0,2331989.0,955397.0,1218138.0,34891896.0
157,236826.0,28097514.0,375592.0,213693.0,2105833.0,943323.0,1668935.0,44161990.0
158,231585.0,16012710.0,328740.0,194116.0,1911767.0,731848.0,1814711.0,48082654.0
159,227176.0,16211868.0,303549.0,143182.0,1461564.0,618656.0,1625903.0,34251615.0
160,228616.0,27868861.0,304084.0,56327.0,1359695.0,652072.0,1578117.0,18206356.0
161,247232.0,16021684.0,323218.0,26312.0,1820995.0,781657.0,1680266.0,6906456.0
162,256581.0,15514679.0,387446.0,12513.0,2145291.0,1105085.0,1795762.0,3309043.0
163,277300.0,28082356.0,387595.0,6218.0,2651120.0,1261884.0,1449060.0,1937174.0
164,269109.0,13195689.0,235122.0,2951.0,2093879.0,909925.0,972749.0,1355791.0
165,268118.0,10072188.0,132972.0,18230.0,1295688.0,468826.0,425143.0,1168656.0
166,239840.0,13914668.0,61303.0,29807.0,526060.0,205467.0,172153.0,1509633.0
167,170160.0,5588865.0,6625.0,17571.0,93151.0,41332.0,56051.0,2393877.0
168,131204.0,4417952.0,2695.0,44500.0,50250.0,20477.0,32737.0,5685136.0
169,107830.0,10777359.0,1819.0,55258.0,36648.0,14845.0,31759.0,12459905.0
170,92965.0,4400969.0,1737.0,73781.0,21459.0,11148.0,48709.0,18621501.0
171,95959.0,3856191.0,7520.0,82298.0,25823.0,14919.0,71440.0,18240496.0
172,86909.0,9053406.0,12845.0,94861.0,52623.0,34061.0,120086.0,12296510.0
173,98314.0,4532028.0,37650.0,120833.0,120642.0,82720.0,221358.0,16493533.0
174,123902.0,7109309.0,106469.0,150535.0,456880.0,321392.0,544472.0,21348459.0
175,155011.0,22821059.0,158339.0,135143.0,1078070.0,565807.0,834096.0,22078887.0
176,179929.0,11622250.0,192032.0,121318.0,1399525.0,742622.0,1582615.0,24079290.0
177,202941.0,10790675.0,205981.0,112050.0,1551973.0,667026.0,1136059.0,22104717.0
178,230612.0,22900691.0,207348.0,88297.0,1334594.0,638311.0,990703.0,16269756.0
179,253870.0,13582414.0,250584.0,106339.0,1512174.0,727320.0,1215878.0,18746329.0
180,252748.0,13286468.0,242551.0,149510.0,1494171.0,579033.0,1286328.0,24521214.0
181,244086.0,26660332.0,241903.0,136520.0,1499876.0,483795.0,1606994.0,31718774.0
182,249039.0,15254607.0,234054.0,114740.0,1191569.0,386985.0,1641905.0,39306368.0
183,242648.0,14342521.0,211048.0,94785.0,705305.0,372468.0,1400349.0,32730682.0
184,246465.0,30650038.0,158383.0,39521.0,574220.0,370004.0,1390501.0,18441514.0
185,263454.0,16360492.0,163202.0,17614.0,774644.0,499410.0,1043510.0,7932039.0
186,266853.0,20102634.0,187091.0,10561.0,1264621.0,760532.0,862162.0,3540550.0
187,285302.0,22724788.0,198871.0,3790.0,1264868.0,927849.0,1140975.0,2062850.0
188,298385.0,11178301.0,152658.0,2605.0,1485452.0,721433.0,1160733.0,1437454.0
189,273392.0,8729794.0,64921.0,10129.0,808503.0,318994.0,678760.0,1062330.0
190,258095.0,17312763.0,45473.0,15816.0,422742.0,188385.0,311405.0,1433391.0
191,219220.0,9303312.0,31323.0,40017.0,204111.0,107244.0,129445.0,2835868.0
192,177688.0,6432427.0,18671.0,87494.0,92024.0,74136.0,71997.0,5318736.0
193,146095.0,12624552.0,14599.0,91052.0,58031.0,70439.0,64809.0,10437358.0
194,126071.0,6494978.0,13098.0,104336.0,41431.0,36123.0,66646.0,15376871.0
195,112721.0,6843657.0,17470.0,132005.0,37238.0,35709.0,82277.0,19322319.0
196,119982.0,17807714.0,33526.0,130307.0,47663.0,53020.0,111920.0,19336155.0
197,136654.0,8694956.0,63348.0,144002.0,83566.0,95005.0,192918.0,22223976.0
198,154001.0,7589084.0,131474.0,185986.0,210043.0,216569.0,435513.0,23179756.0
199,200763.0,21955196.0,317163.0,184449.0,474353.0,374461.0,818233.0,22371300.0
200,215602.0,11457449.0,260452.0,151234.0,652223.0,556919.0,1129643.0,23793690.0
201,222313.0,10324483.0,200682.0,148379.0,692613.0,320220.0,1110212.0,22594067.0
202,254763.0,19705646.0,212448.0,100877.0,712572.0,339583.0,1231503.0,20068151.0
203,272736.0,10029455.0,231687.0,142973.0,734916.0,384438.0,1193631.0,23155518.0
204,270638.0,10248929.0,287130.0,218135.0,862170.0,407571.0,1204839.0,31990183.0
205,262857.0,23554299.0,250047.0,254453.0,928843.0,441670.0,1446063.0,41534693.0
206,267733.0,13932641.0,263811.0,153695.0,1049378.0,487192.0,1404833.0,48259294.0
207,261737.0,13733077.0,272688.0,122743.0,1012391.0,501113.0,1305775.0,39568585.0
208,266596.0,24315445.0,255366.0,49955.0,930138.0,527880.0,1018533.0,22884566.0
209,286805.0,14224059.0,299199.0,25999.0,1205565.0,725760.0,873912.0,10581380.0
210,287273.0,11565228.0,336756.0,12485.0,1526061.0,974576.0,959863.0,4457441.0
211,297480.0,22539707.0,373218.0,6278.0,1893342.0,981751.0,1114733.0,2283855.0
212,296186.0,11837947.0,259370.0,2998.0,1991380.0,740804.0,1723580.0,1350500.0
213,271475.0,9149347.0,125772.0,5990.0,1202437.0,436143.0,1300689.0,1361419.0
214,226169.0,13248662.0,47704.0,9959.0,436587.0,162522.0,445916.0,1335158.0
215,180102.0,5347521.0,14231.0,16006.0,134947.0,58133.0,166273.0,2259737.0
216,133843.0,3612867.0,4989.0,39894.0,37564.0,20636.0,65592.0,4146026.0
217,103298.0,8824376.0,3310.0,45292.0,18426.0,12405.0,30920.0,9433985.0
218,92935.0,3777268.0,3335.0,72388.0,10275.0,7848.0,29667.0,17002498.0
219,85251.0,2762796.0,5000.0,96012.0,6180.0,5282.0,40330.0,19436111.0
220,94360.0,8064370.0,17117.0,107159.0,9466.0,9475.0,68258.0,18216436.0
221,116344.0,4742303.0,44455.0,135951.0,26364.0,25263.0,129726.0,22759431.0
222,143130.0,4764870.0,110044.0,184486.0,97775.0,97974.0,283280.0,26476006.0
223,169280.0,13491036.0,183136.0,182828.0,314985.0,275612.0,622171.0,27450231.0
224,190445.0,9261275.0,309599.0,166709.0,698128.0,489265.0,1106652.0,28136366.0
225,217879.0,10588146.0,386552.0,181175.0,1210420.0,680347.0,1442510.0,26488008.0
226,253587.0,20072297.0,400485.0,173757.0,1083863.0,833055.0,1686386.0,22185653.0
227,270588.0,12659398.0,489739.0,309824.0,1022721.0,908509.0,1690142.0,25391728.0
228,257566.0,11647203.0,516859.0,435674.0,1037232.0,939767.0,1492085.0,35627511.0
229,306490.0,23677988.0,520013.0,485223.0,1004928.0,935867.0,1863668.0,48556988.0
230,324109.0,15631472.0,501484.0,328560.0,1044042.0,1047196.0,1910659.0,56285719.0
231,268095.0,15210837.0,513117.0,185854.0,1064496.0,1048463.0,2047041.0,41445122.0
232,282173.0,26708193.0,606049.0,83673.0,1143227.0,1335200.0,1962529.0,20725260.0
233,305898.0,17478782.0,591424.0,35815.0,1903523.0,1565475.0,1719661.0,7720256.0
234,312600.0,17053300.0,594110.0,20020.0,2707554.0,1762622.0,1685392.0,3500558.0
235,309201.0,35796459.0,767945.0,8477.0,3027170.0,2085864.0,1480239.0,2012923.0
236,310987.0,19772791.0,338253.0,3550.0,2182404.0,1307316.0,1109197.0,1390031.0
237,268899.0,11092129.0,118876.0,8201.0,938219.0,635616.0,574741.0,1210390.0
238,219513.0,14666501.0,28808.0,14715.0,236911.0,177845.0,191644.0,1664742.0
239,166709.0,4656241.0,7026.0,20340.0,58898.0,79413.0,79144.0,2083845.0
240,126293.0,4299495.0,2365.0,54573.0,19495.0,20572.0,37886.0,5238133.0
241,97725.0,10554977.0,1859.0,71038.0,11325.0,13331.0,35484.0,11521320.0
242,88085.0,4683665.0,1637.0,80905.0,7661.0,10869.0,49604.0,18153409.0
243,84721.0,4455921.0,3892.0,108203.0,6814.0,14235.0,74121.0,21482808.0
244,94422.0,10877864.0,15505.0,141277.0,14559.0,28693.0,125440.0,16520944.0
245,118454.0,6910147.0,45416.0,156773.0,59941.0,86794.0,234718.0,20524047.0
246,143440.0,9431596.0,121962.0,202310.0,271690.0,315343.0,598710.0,23470066.0
247,175613.0,22969661.0,202997.0,179140.0,1030139.0,638356.0,871845.0,24734173.0
248,222497.0,14615367.0,258671.0,186114.0,1364988.0,985142.0,1088340.0,27277457.0
249,210706.0,14928851.0,307148.0,192108.0,1720190.0,849109.0,904679.0,23371331.0
250,238317.0,26625119.0,328903.0,209736.0,1449622.0,946998.0,1143755.0,18483673.0
251,261645.0,16695160.0,397509.0,296718.0,1757367.0,1134856.0,1267578.0,24806999.0
252,272928.0,17887812.0,418640.0,392212.0,1791411.0,1090197.0,1548612.0,34564531.0
253,275503.0,34635879.0,452228.0,389132.0,1599940.0,972413.0,1920157.0,46850367.0
254,269964.0,23741914.0,588043.0,318806.0,1518423.0,892199.0,2093764.0,48191304.0
255,264307.0,19627481.0,459821.0,236609.0,1135543.0,807856.0,2036650.0,33813485.0
256,278152.0,39010896.0,455508.0,92974.0,1114130.0,859844.0,2214916.0,14906684.0
257,298326.0,24717794.0,490688.0,32409.0,1688363.0,1065328.0,2251047.0,5934303.0
258,300256.0,20655975.0,556248.0,18806.0,2018802.0,1282006.0,2196870.0,3131849.0
259,311423.0,37998472.0,449860.0,6039.0,2370814.0,1386898.0,1724967.0,1759424.0
260,307429.0,17382775.0,272161.0,3772.0,1934299.0,990825.0,973223.0,1465805.0
261,270648.0,10582986.0,88029.0,9533.0,766145.0,361337.0,565339.0,1330833.0
262,220269.0,14605668.0,20373.0,13396.0,165024.0,90212.0,154909.0,1509956.0
263,168717.0,5250048.0,6054.0,23777.0,53570.0,46838.0,65267.0,2309861.0
264,126976.0,5208082.0,2801.0,61406.0,21795.0,19729.0,33407.0,6130038.0
265,100027.0,10929538.0,1956.0,74144.0,13410.0,11095.0,34167.0,13164902.0
266,92541.0,5581106.0,1742.0,99481.0,8108.0,6939.0,49710.0,18896098.0
267,91820.0,4674389.0,4615.0,126573.0,9657.0,9634.0,70037.0,20434091.0
268,101366.0,9145664.0,16765.0,147728.0,22003.0,22487.0,122914.0,15364236.0
269,122338.0,5543626.0,49248.0,168009.0,87741.0,82569.0,244531.0,18229557.0
270,145484.0,9211306.0,132949.0,216904.0,370388.0,326739.0,642593.0,21340427.0
271,179277.0,25062903.0,205968.0,205122.0,1293781.0,661257.0,1030416.0,22965409.0
272,207090.0,17108746.0,309378.0,202274.0,1616037.0,1162565.0,1323598.0,25248242.0
273,217028.0,16636038.0,319486.0,208416.0,1857881.0,850967.0,1001622.0,24678959.0
274,248243.0,29590307.0,323169.0,204506.0,1568162.0,862544.0,1367051.0,18049815.0
275,287177.0,15539302.0,326019.0,269188.0,1886436.0,1112914.0,1655223.0,22437389.0
276,256570.0,19794287.0,417345.0,402294.0,1896552.0,1000156.0,1658564.0,32715246.0
277,281702.0,38419907.0,401196.0,400433.0,1751293.0,894543.0,2046164.0,45175420.0
278,285401.0,24815730.0,406958.0,420089.0,1560844.0,772803.0,2134759.0,48591555.0
279,260631.0,25696291.0,465831.0,282324.0,1304151.0,747734.0,2218913.0,34248192.0
280,272359.0,37431420.0,407609.0,117532.0,1273691.0,805423.0,2168281.0,15200123.0
281,290847.0,27502468.0,447701.0,44099.0,1677032.0,998446.0,2185874.0,6097219.0
282,282520.0,20456851.0,463941.0,33897.0,2126407.0,1550409.0,2043733.0,2796282.0
283,287184.0,30874126.0,503113.0,7297.0,2825442.0,3169800.0,1798238.0,1465896.0
284,284702.0,17215377.0,270594.0,4912.0,2599039.0,1092820.0,1087672.0,1167421.0
285,266559.0,11780811.0,92609.0,12079.0,792613.0,326564.0,428315.0,1087227.0
286,216227.0,15611792.0,23210.0,16620.0,189912.0,88534.0,149802.0,1477313.0
287,168129.0,6500567.0,6575.0,29304.0,44642.0,29147.0,52428.0,2300462.0
288,120648.0,5033920.0,3555.0,74308.0,20595.0,14106.0,25754.0,5915375.0
289,96881.0,11117147.0,2078.0,73257.0,13310.0,10851.0,25060.0,13192162.0
290,87990.0,6711898.0,2327.0,97509.0,9711.0,10349.0,36401.0,20234966.0
291,94171.0,4578406.0,8222.0,126695.0,11998.0,13138.0,60667.0,20997143.0
292,106113.0,11614241.0,27844.0,153255.0,23306.0,33950.0,129663.0,15872961.0
293,126116.0,6669818.0,60318.0,189367.0,88762.0,109098.0,267983.0,20576303.0
294,148335.0,8338949.0,150990.0,226716.0,369809.0,356213.0,647183.0,23091866.0
295,186256.0,23257360.0,210669.0,180006.0,1165535.0,663790.0,1000411.0,26460424.0
296,219530.0,15926264.0,275546.0,172283.0,1371443.0,936177.0,1111963.0,25860411.0
297,250856.0,16064035.0,281343.0,185540.0,1590132.0,805788.0,936110.0,23681387.0
298,299603.0,24371738.0,271686.0,178414.0,980096.0,737963.0,958916.0,18026345.0
299,260062.0,17833569.0,404516.0,225129.0,1399811.0,998639.0,1494263.0,21664246.0
300,259026.0,18381207.0,480058.0,310740.0,1272835.0,855173.0,1822487.0,31554076.0
301,263997.0,36679905.0,499642.0,327530.0,1145031.0,871533.0,2300065.0,42121222.0
302,267446.0,22259566.0,470841.0,316527.0,973645.0,744199.0,2443253.0,45242882.0
303,265097.0,22634332.0,473937.0,252955.0,645871.0,660824.0,2087812.0,34117548.0
304,265352.0,36061796.0,423914.0,93791.0,629211.0,646927.0,2002480.0,15253096.0
305,285166.0,21375406.0,480655.0,41067.0,772626.0,760598.0,2266345.0,6555935.0
306,279153.0,18981547.0,521608.0,19468.0,1140534.0,994701.0,2132651.0,2826844.0
307,288587.0,28493213.0,449026.0,8053.0,1682288.0,2027319.0,1818067.0,1628524.0
